label,area,mean_intensity,integrated_density,filename,age,channel,region
1,86.0,230.19767441860466,19797.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
2,1.0,94.0,94.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
3,6.0,148.16666666666666,889.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
4,162.0,237.70987654320987,38509.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
5,83.0,206.19277108433735,17114.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
6,75.0,221.24,16593.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
7,7.0,142.85714285714286,1000.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
8,4.0,178.25,713.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
9,77.0,229.27272727272728,17654.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
10,4.0,186.25,745.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
11,123.0,227.5528455284553,27989.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
12,71.0,224.81690140845072,15962.000000000002,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
13,79.0,233.63291139240508,18457.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
14,1.0,148.0,148.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
15,16.0,135.625,2170.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
16,28.0,217.89285714285714,6101.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
17,15.0,184.4,2766.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
18,9.0,229.44444444444446,2065.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
19,51.0,194.88235294117646,9939.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
20,4.0,164.25,657.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
21,9.0,195.66666666666666,1761.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
22,7.0,136.14285714285714,953.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
23,10.0,126.0,1260.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
24,41.0,208.97560975609755,8568.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
25,31.0,166.09677419354838,5149.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
26,6.0,137.66666666666666,826.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
27,69.0,222.18840579710144,15331.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
28,11.0,138.54545454545453,1523.9999999999998,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
29,1.0,126.0,126.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
30,97.0,206.02061855670104,19984.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
31,41.0,172.3170731707317,7065.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
32,11.0,127.45454545454545,1402.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
33,12.0,148.66666666666666,1784.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
34,84.0,228.3095238095238,19178.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
35,84.0,207.27380952380952,17411.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
36,40.0,197.9,7916.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
37,3.0,211.66666666666666,635.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
38,33.0,189.9090909090909,6267.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
39,112.0,216.23214285714286,24218.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
40,1.0,255.0,255.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
41,60.0,199.58333333333334,11975.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
42,3.0,124.33333333333333,373.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
43,98.0,243.74489795918367,23887.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
44,20.0,214.9,4298.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
45,4.0,130.0,520.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
46,1.0,107.0,107.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
47,7.0,166.57142857142858,1166.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
48,14.0,168.78571428571428,2363.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
49,25.0,137.88,3447.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
50,17.0,250.88235294117646,4265.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
51,17.0,137.35294117647058,2335.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
52,77.0,162.19480519480518,12489.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
53,13.0,161.0,2093.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
54,5.0,128.4,642.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
55,11.0,196.36363636363637,2160.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
56,121.0,237.94214876033058,28791.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
57,119.0,216.61344537815125,25777.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
58,12.0,225.58333333333334,2707.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
59,3.0,156.33333333333334,469.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
60,7.0,174.85714285714286,1224.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
61,101.0,207.8910891089109,20997.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
62,83.0,185.09638554216866,15362.999999999998,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
63,99.0,206.62626262626262,20456.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
64,5.0,175.6,878.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
65,1.0,61.0,61.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
66,1.0,45.0,45.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
67,78.0,190.0,14820.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
68,79.0,210.2405063291139,16609.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
69,200.0,218.775,43755.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
70,6.0,199.0,1194.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
71,48.0,147.89583333333334,7099.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
72,34.0,189.55882352941177,6445.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
73,20.0,133.85,2677.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
74,24.0,167.16666666666666,4012.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
75,125.0,234.16,29270.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
76,97.0,228.7835051546392,22192.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
77,57.0,209.2982456140351,11930.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
78,10.0,167.4,1674.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
79,48.0,203.4375,9765.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
80,124.0,225.58870967741936,27973.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
81,1.0,190.0,190.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
82,8.0,191.25,1530.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
83,13.0,136.0,1768.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
84,76.0,203.32894736842104,15453.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
85,28.0,181.46428571428572,5081.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
86,4.0,131.5,526.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
87,2.0,152.0,304.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
88,4.0,188.25,753.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
89,51.0,175.4313725490196,8947.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
90,25.0,208.92,5223.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
91,52.0,193.73076923076923,10074.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
92,1.0,210.0,210.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
93,169.0,238.2958579881657,40272.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
94,26.0,217.19230769230768,5647.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
95,21.0,180.14285714285714,3783.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
96,100.0,175.49,17549.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
97,1.0,167.0,167.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
98,22.0,203.8181818181818,4484.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
99,21.0,177.04761904761904,3718.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
100,51.0,200.90196078431373,10246.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
101,25.0,187.92,4698.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
102,63.0,236.9047619047619,14925.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
103,51.0,229.62745098039215,11711.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
104,26.0,205.30769230769232,5338.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
105,21.0,203.71428571428572,4278.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
106,252.0,237.8015873015873,59926.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
107,32.0,175.84375,5627.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
108,33.0,215.3030303030303,7105.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
109,3.0,157.66666666666666,473.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
110,28.0,218.57142857142858,6120.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
111,2.0,255.0,510.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
112,6.0,192.83333333333334,1157.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
113,59.0,164.71186440677965,9718.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
114,25.0,170.88,4272.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
115,108.0,235.57407407407408,25442.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
116,18.0,233.88888888888889,4210.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
117,27.0,227.11111111111111,6132.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
118,66.0,236.15151515151516,15586.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
119,22.0,240.36363636363637,5288.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
120,4.0,147.75,591.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
121,3.0,128.33333333333334,385.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
122,87.0,239.6551724137931,20850.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
123,40.0,193.8,7752.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
124,19.0,215.89473684210526,4102.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
125,34.0,163.76470588235293,5568.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
126,62.0,188.88709677419354,11711.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
127,1.0,101.0,101.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
128,141.0,231.8581560283688,32692.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
129,2.0,169.5,339.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
130,43.0,161.53488372093022,6946.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
131,45.0,163.73333333333332,7367.999999999999,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
132,18.0,177.44444444444446,3194.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
133,91.0,204.67032967032966,18625.0,J995_AR _B4_slice6-Ort.czi,adult,gal,lower
